,index_col,cname,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph,region_name
74,74,South Africa,0.66500002,ZAF,4,8820.0596,54.14699935913086,33.299999237060554,7.380000099999999,18.9,8.796984672546387,SubSaharian
75,75,Zimbabwe,0.50700003,ZWE,4,15997.67,12.45899963378906,55.70000076293945,6.5,,6.439471244812013,SubSaharian
76,76,Spain,0.88200003,ESP,5,31086.35,46.45500183105469,3.7999999523162837,9.25,30.299999,9.029886245727539,WesternDem
77,77,Sudan (2012-),0.48800001,SDN,4,,,,,,8.4287748336792,SubSaharian
78,78,Switzerland,0.93800002,CHE,5,50454.41,8.140000343322754,3.7000000476837163,9.6099997,24.1,11.659268379211431,WesternDem
79,79,Syria,0.55299997,SYR,3,4284.4199,,14.199999809265142,0.75999999,,3.254531145095825,NorthAfrica
80,80,Tajikistan,0.625,TJK,1,3592.6499,8.131999969482424,49.0,0.31999999,,6.8808841705322275,East Europe
81,81,Tonga,0.71799999,TON,9,3962.0601,0.1040000021457672,,0.95999998,30.200001,5.1767706871032715,Pacific
82,82,Trinidad and Tobago,0.77899998,TTO,10,22089.16,1.353999972343445,18.39999961853027,6.940000099999999,,5.933197021484375,Caribbean
83,83,United Arab Emirates,0.83600003,ARE,3,20310.109,,7.199999809265138,1.91,,3.643985748291016,NorthAfrica
84,84,Tunisia,0.72299999,TUN,3,6912.2798,,13.800000190734858,1.39,,7.003858089447022,NorthAfrica
85,85,Turkey,0.764,TUR,3,16900.711,77.69599914550781,12.199999809265142,1.45,27.0,5.41495943069458,NorthAfrica
86,86,Tuvalu,,TUV,9,3174.05,0.0109999999403954,,1.34,,16.5366382598877,Pacific
87,87,Ukraine,0.74800003,UKR,1,9326.7197,42.7599983215332,9.199999809265137,8.0600004,30.700001,7.095736026763916,East Europe
88,88,Egypt,0.68800002,EGY,3,5598.2598,86.69999694824219,17.89999961853027,0.20999999,23.799999,5.642115116119385,NorthAfrica
89,89,United Kingdom,0.90799999,GBR,5,34791.051,64.59700012207031,4.099999904632568,10.37,20.299999,9.115471839904783,WesternDem
90,90,Tanzania,0.51899999,TZA,4,1416.3,43.88000106811523,37.70000076293945,4.1999998,16.299999,5.580115795135498,SubSaharian
91,91,Burkina Faso,0.39899999,BFA,4,1095.96,16.5,65.80000305175781,4.6399999,19.1,4.960263252258301,SubSaharian
92,92,Uruguay,0.79400003,URY,2,12804.84,3.453999996185303,6.199999809265138,6.0300002,24.799999,8.581491470336914,LatAm
93,93,Uzbekistan,0.69700003,UZB,1,7370.7202,29.74600028991699,,2.8299999,13.3,5.838521957397461,East Europe
94,94,Samoa,0.70200002,WSM,9,3167.75,0.1920000016689301,,2.1500001,32.0,7.215108871459961,Pacific
95,95,Yemen,0.49900001,YEM,3,2170.9299,,46.29999923706055,0.039999999,,5.636990070343018,NorthAfrica
96,96,Zambia,0.57599998,ZMB,4,1916.79,,56.400001525878906,2.4100001,15.9,4.986764907836914,SubSaharian
